,Model,Epochs for training,train_loss,train_acc,test_loss,test_acc
0,TinyVGG,30,0.40844761288684345,0.763680659670165,0.456874114771684,0.7795138888888888
1,MobileNetV1,30,0.06813048583495876,0.9696870314842579,0.6796695788701376,0.765625
2,TinyVGG,50,0.35535441986892535,0.7982102698650675,0.442305567363898,0.796875
3,MobileNetV1,50,0.07345478036238448,0.9686094452773613,0.7488504648208618,0.8003472222222222
